gene	score
NME2	0.5131269487717488
NCBP1	0.511325912871687
BCLAF1	0.511325912871687
JUND	0.511325912871687
AKAP1	0.5099359292627978
RERE	0.5099359292627978
ITGB7	0.5099359292627978
CHD4	0.5099359292627978
USP28	0.5099359292627978
HELLS	0.5099359292627978
PJA2	0.5099359292627978
HMGB2	0.5099359292627978
PLEKHA3	0.5099359292627978
ZC3H18	0.5099359292627978
OXCT1	0.5099359292627978
BCL7B	0.5099359292627978
LAT2	0.5099359292627978
C2ORF49	0.5099359292627978
CAMK1	0.5099359292627978
STXBP5	0.5099359292627978
PKP4	0.5092908900360548
ARHGEF1	0.5081764298221969
SLAMF7	0.5081764298221969
RFC1	0.5081764298221969
SNX27	0.5081764298221969
FGD3	0.5081764298221969
BCL7C	0.5081764298221969
BLTP1	0.5081764298221969
ZHX3	0.5065279429793094
FOXP1	0.5058791718556329
FKBP8	0.5052301169106115
GTSE1	0.5045807786025758
SAFB2	0.5043298525813122
TOPBP1	0.5043298525813122
SIPA1L3	0.5034194852345687
MSL3	0.5034194852345687
GPR15	0.5034194852345687
PLEKHA2	0.5017667819199322
YTHDC2	0.5004605432206622
MPZL1	0.4998070087212099
GEMIN5	0.4985352023343748
DDX3X	0.4985352023343748
PHF20L1	0.49756882713462774
ARFGAP1	0.4932565461728785
KIAA1671	0.49028608710995364
LRRC41	0.49028608710995364
TAF3	0.48931319318246913
PCBP1	0.48931319318246913
HNRNPA2B1	0.4889965835389073
IGHMBP2	0.4853601466116559
GSK3A	0.4837003694899276
SIPA1	0.47241259989382567
MTMR12	0.47241259989382567
TCEA3	0.4627623895799154
H1-5	0.4610991825257614
FOXO1	0.46043571449293264
INPP5D	0.45144374855919395
SH3KBP1	0.4504494483105924
DYNC1I2	0.4497841646908628
PFKL	0.4474528245333491
CIT	0.4467867687880986
CD5	0.4417870636224137
KDM3B	0.4394526491655674
MDM2	0.4367850598070566
PSD4	0.4301121639165965
JMJD1C	0.4294433072661538
RANBP1	0.4114248824845034
LASP1	0.3990834034323621
PBK	0.39841228984103944
PPP2R5D	0.3863974573301934
ZNF174	0.3773803950909479
CBLL1	0.3743611131935982
PRICKLE3	0.3743611131935982
WASHC2C	0.3703396216403715
PRAG1	0.3696653018070426
NSD3	0.36199073792710634
KAT7	0.3379087409443188
RALGAPA1	0.33423175656493914
NFATC2IP	0.33155453211447034
NFXL1	0.32887706794949795
RPS6	0.3281993644258133
TLNRD1	0.32680726882413524
PI4KA	0.31568657980327863
DCP1B	0.3122300393829191
POLR2M	0.3091279061260048
WASF2	0.3091279061260048
PLPP6	0.3091279061260048
ADAM17	0.3091279061260048
ARHGEF12	0.3087586897981193
IL10RB	0.3087586897981193
PVR	0.3053316523358228
SLAMF1	0.30327270250230026
SLC25A19	0.30327270250230026
PURB	0.30327270250230026
PDLIM2	0.3032574858571521
HNRNPK	0.3032574858571521
PPHLN1	0.3032574858571521
RSRC2	0.3032574858571521
RPTOR	0.3032574858571521
RBM25	0.3032574858571521
PROSER3	0.3032574858571521
TBC1D2B	0.3032574858571521
TRIM22	0.3028765800202989
MAPKBP1	0.30242046533586875
SHKBP1	0.30242046533586875
FUS	0.30242046533586875
FBXO38	0.30087932247397275
FBXO46	0.30087932247397275
HELZ	0.30087932247397275
TCF12	0.30049186768398634
PLEKHG2	0.29910355015398216
SFPQ	0.29840906862025984
RBM12B	0.2967143723107966
BORCS5	0.2961839062853193
TTC39B	0.2961839062853193
TSC2	0.2961839062853193
ABR	0.2961839062853193
ZFYVE16	0.2961839062853193
PPFIBP2	0.2961839062853193
ANLN	0.2961839062853193
FKBP3	0.2961839062853193
DENND4A	0.2961839062853193
MAP9	0.2961839062853193
TAF2	0.2961839062853193
STX6	0.2961839062853193
TRMT1L	0.2961839062853193
YJU2B	0.2961839062853193
WDR20	0.2961839062853193
LUC7L	0.2961839062853193
SMC4	0.2961839062853193
SLC4A1AP	0.2961839062853193
MSL2	0.2961839062853193
