contrast_key,contrast_label,kinase,n_substrates,mean_lfc,z_perm,null_mean,null_std
aCD3_5min,αCD3 5min,CAMK2B,5,0.6118000000000002,-0.1723537449443456,0.8316139999999999,1.2753653833920424
aCD3_5min,αCD3 5min,UL97,11,0.37454545454545446,-0.5151270867021117,0.8136604545454545,0.8524401285345959
aCD3_5min,αCD3 5min,CDK3,5,1.1616000000000002,0.2715908148435104,0.815697,1.273618182556388
aCD3_5min,αCD3 5min,CDK18,5,1.1616000000000002,0.3203678839746831,0.786694,1.1702359030146323
aCD3_5min,αCD3 5min,FGFR3,6,3.6470000000000002,2.4186931270600605,0.7943958333333333,1.179398963329436
aCD3_5min,αCD3 5min,ULK2,5,1.2066,0.3357286706902785,0.7700040000000001,1.3004430008981118
aCD3_5min,αCD3 5min,ALK,5,3.595,2.386124018704169,0.6266759999999999,1.2439940157058587
aCD3_aCD226_5min,αCD3+αCD226 5min,CDK1,235,0.6161234042553192,-1.8176493970284355,0.9614540425531914,0.1899874854096903
aCD3_aCD226_5min,αCD3+αCD226 5min,MAPKAPK2,37,2.0440540540540537,2.2867446156008224,0.9560962162162161,0.47576709284258495
aCD3_aCD226_5min,αCD3+αCD226 5min,ATM,64,0.10867187500000004,-2.3556972944880665,0.9422325,0.3538487847952243
aCD3_aCD226_5min,αCD3+αCD226 5min,CHEK2,19,1.1870526315789476,0.27171267667330706,0.9873902631578946,0.7348290512816834
aCD3_aCD226_5min,αCD3+αCD226 5min,CSNK2A1,78,0.8397564102564105,-0.2650437311062448,0.9245103205128204,0.3197733064753595
aCD3_aCD226_5min,αCD3+αCD226 5min,ABL1,44,1.2825000000000002,0.6395087181056692,0.9649989772727272,0.4964764572213552
aCD3_aCD226_5min,αCD3+αCD226 5min,MAPK3,88,1.8234772727272728,2.617030172620527,0.9407621022727273,0.3372965201890091
aCD3_aCD226_5min,αCD3+αCD226 5min,MAPK1,87,2.120505747126437,3.8776399272011646,0.9253337356321839,0.3082215042996306
aCD3_aCD226_5min,αCD3+αCD226 5min,LYN,18,1.2775,0.29324240806963714,1.0582175,0.7477857702898361
aCD3_aCD226_5min,αCD3+αCD226 5min,SRC,100,1.44447,1.7326314083697054,0.9598396,0.27970773106093344
aCD3_aCD226_5min,αCD3+αCD226 5min,MAP3K8,10,3.6456000000000004,2.5318498505376716,0.9912915,1.0483672637365613
aCD3_aCD226_5min,αCD3+αCD226 5min,HCK,5,0.7504,-0.08453255438560564,0.863074,1.3329066040761497
