gene	score
ITGAE	0.4699690239965024
FOXP1	0.46826699620846807
PFKFB3	0.45834709691664055
PRR12	0.44882680697468846
CAMSAP1	0.4404172822279923
SLC2A1	0.41377118762146975
UNK	0.40594337316952056
IL10RB	0.4018204407484665
MARK3	0.39515066488696077
RBMX	0.38702128558996
WIPI2	0.38331110507479177
NFATC3	0.3788901644697827
KRI1	0.37662272454114415
PBK	0.37662272454114415
EIF3E	0.3749108137602675
ZNF654	0.3697739365655377
TERF2IP	0.36734840024969906
ELF1	0.36220867352254704
RPS6	0.36220867352254704
GTF2I	0.3542093755625549
AHCTF1	0.3443485092829335
OXCT1	0.3436328264661835
AMPD2	0.34320090304411116
TCEA3	0.3427682375230975
PLIN3	0.3413348318394745
RALGAPA1	0.3366178520397176
LIME1	0.3339006879220055
FRMD4B	0.3310301930629754
DENND4A	0.32940912463574606
HIPK1	0.32940912463574606
DOCK7	0.32940912463574606
ZNF217	0.32940912463574606
YY1	0.32940912463574606
LMNA	0.32940912463574606
IRF2	0.32940912463574606
C2CD2L	0.32940912463574606
SRSF10	0.32940912463574606
TREX1	0.32940912463574606
SLC1A4	0.32940912463574606
KDM3A	0.32940912463574606
EIF2AK4	0.32868565726648563
MAP2K4	0.32779003035213167
EML3	0.3169977892866058
TRAFD1	0.3169977892866058
HAPSTR1	0.316542359241223
RTTN	0.31535793597274697
OXR1	0.31535793597274697
STIP1	0.314900804145812
SLC19A2	0.314900804145812
TAF3	0.31268199889363396
CBX6	0.31268199889363396
ZNF185	0.31268199889363396
HNRNPA0	0.31202448676914324
SH3KBP1	0.31202448676914324
GPR55	0.3118279920527442
PRKAB1	0.3118279920527442
ZNF395	0.3118279920527442
MYH9	0.3116300134845617
ARHGEF12	0.3111638727796947
SMC4	0.31022962664435466
JUND	0.31022962664435466
SUZ12	0.3090272292228173
PVR	0.3090272292228173
SMARCC1	0.308823369650912
SIK3	0.30761805327960556
RBM25	0.3071470356615741
ZNF777	0.3027301278710311
PRDM11	0.3027301278710311
SH3GL1	0.3027301278710311
PPP1R21	0.30225654548930597
HDAC3	0.2997823257979598
TASOR2	0.2980449774430401
ANLN	0.29492371006885104
SLC25A19	0.29492371006885104
ITGB7	0.29492371006885104
ANAPC2	0.2944450720545176
PDAP1	0.2929658089057591
FKBP3	0.2893354636884056
SF3A2	0.2893354636884056
C2CD5	0.2893354636884056
BORCS5	0.2893354636884056
CKAP2L	0.2893354636884056
TBC1D13	0.28659358820233616
AREL1	0.2853670425152358
F11R	0.2848819145161485
MAPKBP1	0.283139121797521
KCNAB2	0.28290983092951705
UBAP2L	0.28290983092951705
ATF2	0.2821664303354476
RALGAPA2	0.2787028510955579
ETV6	0.2787028510955579
NME2	0.2787028510955579
REXO4	0.27821378583908135
CUL4A	0.27821378583908135
ARK2N	0.2767241201891133
EEF1D	0.2749790626571936
CHD1L	0.2694884990580165
UBL7	0.2687429933412459
RALGPS2	0.2672515349472491
RSRC2	0.2660132325676468
ZNF692	0.2660132325676468
ARID4A	0.2625326317217358
USP28	0.26103791913406127
STX6	0.2570467337152063
RBM12B	0.2552985716358052
WASF2	0.24805321036938685
ASXL2	0.2473080349404293
RBM15B	0.2403082433438435
CSRP1	0.2390559528230607
CHD8	0.2390559528230607
GAPVD1	0.22980237720944316
HDGFL2	0.2267956183099584
RREB1	0.21752834296426543
VGLL4	0.21126882819378925
SPG11	0.2100080530223133
CISD2	0.2100080530223133
TRIT1	0.20925418195035372
KLF2	0.2044827385883189
DOCK11	0.19346308772221993
PLEKHF1	0.1929524336690946
AIMP1	0.1846854203104374
CAAP1	0.17490432226661667
H1-5	0.16284747755261866
SPAG5	0.16284747755261866
PCBP2	0.16284747755261866
MAP4K5	0.16005754933548613
WIZ	0.1504279225405707
MTHFD1	0.14338610159864368
MSANTD2	0.13610335111246097
CHD3	0.13005784486349176
PNN	0.12853430621890968
EIF2A	0.12301024542479247
PRR11	0.1214856636243249
SEC23IP	0.10561862853232061
VEZT	0.10203480744558616
TBC1D5	0.10074116891640553
BACH2	0.09544638338568533
CAMK2D	0.09185338617757706
SARNP	0.08118830837121874
SEMA4D	0.08042111163699348
DMTN	0.07397374484785862
TNIP1	0.07243625232703792
NCOR2	0.06966732149019218
LARP4	0.06728137239144365
TBC1D1	0.053741430148345884
CDK12	0.052971276399756476
ITPKB	0.049118686530603486
METTL1	0.04810029788451353
KIF13B	0.04810029788451353
TEX2	0.04810029788451353
MAP2K7	0.04810029788451353
PGRMC1	0.04632215969363135
SPNS1	0.045543908221248645
UNC45A	0.036429771826518534
MAX	0.03231383214584903
ABL1	0.031755188364630545
TOP2A	0.03041638283170469
MTA1	0.029636557478703508
WARS1	0.029076572188991328
DTX3L	0.028516141540184607
RALBP1	0.028516141540184607
IREB2	0.027051140044672205
ASXL1	0.027051140044672205
SCRIB	0.021362548636218948
SEC14L1	0.021362548636218948
MYBBP1A	0.018798806314192208
ATXN7L3	0.018016770926999912
C8ORF33	0.017452372249279334
SPTBN1	-0.0010000000000000189
NCBP3	-0.0017845227036405575
CCT6A	-0.004353247115166825
KIDINS220	-0.004353247115166825
CTU2	-0.007840400910911687
YTHDC1	-0.008407189421720413
ACAP1	-0.013190421520088572
BORCS6	-0.015756560862723694
RFX7	-0.016539467890493473
SMARCB1	-0.016539467890493473
SLAIN1	-0.016887537097214887
PYCR2	-0.02058073225392187
ORC1	-0.02370733933632745
RALB	-0.027051140044672205
CSNK1D	-0.029076572188991328
UPF1	-0.031755188364630545
MIEF1	-0.037987065894296325
FBXO46	-0.04810029788451353
PRAG1	-0.04810029788451353
RAB10	-0.04810029788451353
PKP4	-0.04810029788451353
PTPN22	-0.04810029788451353
PSMB6	-0.04810029788451353
RASSF2	-0.04810029788451353
PDE4A	-0.04810029788451353
MICAL1	-0.04810029788451353
RBBP6	-0.04810029788451353
VPS50	-0.04810029788451353
U2SURP	-0.04810029788451353
WDR20	-0.04810029788451353
DUSP22	-0.04810029788451353
PLPP6	-0.04810029788451353
PDLIM2	-0.04810029788451353
