kinase_gene,substrate_gene
MAPKAPK2,TP53
MAPKAPK2,TRIM29
MAPKAPK2,PARN
MAPKAPK2,DDX5
MAPKAPK2,DAZL
MAPKAPK2,RIPK1
MAPKAPK2,COPS5
MAPKAPK2,SRF
MAPKAPK2,TRIM28
MAPKAPK2,LSP1
MAPKAPK2,PDE4D
MAPKAPK2,PIAS1
MAPKAPK2,ALOX5
MAPKAPK2,AATF
MAPKAPK2,HSF1
MAPKAPK2,BCL2L1
MAPKAPK2,PFKFB3
MAPKAPK2,TSC2
MAPKAPK2,CDC25C
MAPKAPK2,BECN1
MAPKAPK2,KRT20
GRK6,CXCR4
MARK3,MARK3
CSNK1G2,CERT1
CSNK1G2,BECN1
CSNK1G2,SMAD3
CSNK1G2,LYN
CSNK1G2,IRS4
AKT2,SGTA
PRKCQ,HEXIM1
PRKCQ,RDX
PRKCQ,PDPK1
PRKCQ,BAD
PRKCQ,NKD2
PRKCQ,EZR
PRKCQ,PRKCQ
PRKCQ,IRS1
PRKCQ,PTPN7
PRKCQ,CCDC88A
PRKCQ,RASGRP1
PRKCQ,CARD11
PRKCQ,NR2F6
PRKCQ,H3C1
PRKCQ,KRAS
PRKCQ,FOSL1
PRKCQ,MSN
PRKCQ,WIPF1
PRKCQ,RAPGEF2
PRKCQ,CBLB
PRKCQ,HABP4
PRKCQ,STK39
PRKCQ,ICAM3
PRKCQ,PPP1R12A
PRKCQ,ARHGEF6
PRKCQ,TBK1
PRKCQ,RASGRP3
FGR,CSNK2A1
FGR,HCLS1
PRKACB,SRSF2
PRKACB,NGFR
CSNK1G1,APC
CSNK1G1,LRP6
CSNK1G1,RELA
CSNK1G1,LYN
STK11,PAK1
STK11,PRKAA1
MAP2K5,MAPK7
INSR,CBL
RPS6KA1,ETV1
RPS6KA1,CDKN1B
LTK,PREB
MINK1,SMAD1
MINK1,NR3C1
CHEK1,SRC
CHEK1,CTR9
CHEK1,LAMC1
CHEK1,DDX19A
CHEK1,HNRNPA2B1
CHEK1,RPL19
CHEK1,YBX1
CHEK1,TICRR
CHEK1,BAZ1A
CHEK1,BLM
CHEK1,E2F3
CHEK1,CHEK1
CHEK1,TRIP12
CHEK1,TLK1
CHEK1,EPRS1
CHEK1,CLK3
CHEK1,SETMAR
CHEK1,E2F6
CHEK1,PRR5
CHEK1,TP53
CHEK1,TP73
CHEK1,GTF3C1
CHEK1,RBM26
CHEK1,YBX3
CHEK1,INF2
CHEK1,CDC25A
CHEK1,MKI67
CHEK1,TFDP1
CHEK1,ERRFI1
CHEK1,FANCD2
CHEK1,RALY
CHEK1,TP53BP1
CHEK1,ZNF638
CHEK1,SCAF11
CHEK1,SRRM2
CHEK1,RELA
CHEK1,CHD7
CHEK1,GOLGA4
CHEK1,ADD3
CHEK1,KIFC1
CHEK1,SEPTIN7
CHEK1,MATR3
CHEK1,SPEN
CHEK1,MCM5
CHEK1,LATS2
CHEK1,RAD51
CHEK1,RIF1
CHEK1,AURKB
CHEK1,CWC25
CHEK1,RBM14
CHEK1,IDI1
CHEK1,CAAP1
CHEK1,PRRC2C
CHEK1,RASSF1
CHEK1,PHF2
CHEK1,SNCB
CHEK1,EXO1
CHEK1,PLK1
CHEK1,HNRNPM
CHEK1,MED1
CHEK1,CCDC6
CHEK1,YBX2
CHEK1,WIZ
CHEK1,HCK
CHEK1,ZC3HC1
CHEK1,ASF1A
